NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2016-11-16 using PALFA Known_Pulsars database
# Contains only sources with DM > 0 and period > 0
187;J0843-5022;130.791183;-50.378639;0.208956;178.47;
188;B0844-35;131.525252;-35.561292;1.116097;94.16;
189;B0841+80;132.256282;80.48309;1.602228;34.66;
190;J0849-6322;132.427458;-63.376389;0.367953;91.29;
191;B0853-33;133.910056;-33.527584;1.267536;86.64;
192;J0855-4644;133.90075;-46.737056;0.064686;238.2;
193;J0855-4658;133.831542;-46.972944;0.575072;472.7;
194;B0855-61;134.247125;-61.631472;0.962509;95.0;
195;J0857-4424;134.479829;-44.402867;0.326774;184.43;
196;J0900-3144;135.18314;-31.741917;0.01111;75.7;
197;J0901-4624;135.417167;-46.413472;0.441995;198.8;
198;B0901-63;135.635;-63.42;0.660313;76.0;
199;B0903-42;136.246667;-42.770556;0.965171;145.8;
200;B0904-74;136.045;-74.995222;0.549553;51.1;
201;J0905-4536;136.349583;-45.614722;0.988281;116.8;
202;J0905-5127;136.466342;-51.463531;0.346287;196.43;
203;B0905-51;136.81625;-51.966458;0.253556;103.72;
204;B0906-17;137.159092;-17.660464;0.401626;15.89;
205;B0906-49;137.148042;-49.218472;0.106755;180.37;
206;B0909-71;137.4;-72.202333;1.36289;54.3;
207;B0917+63;140.308897;62.903864;1.567994;13.16;
208;B0919+06;140.558425;6.639806;0.430619;27.27;
209;J0922-4949;140.562337;-49.820022;0.950289;237.1;
210;B0922-52;141.036208;-53.045611;0.746295;152.9;
211;B0923-58;141.129167;-58.235111;0.739501;57.4;
212;J0927+23;141.904167;23.783333;0.761886;23.0;
213;J0932-3217;143.163125;-32.287278;1.931627;102.1;
214;J0932-5327;143.09525;-53.453056;4.392159;122.0;
215;B0932-52;143.617917;-52.824222;1.444773;100.0;
216;J0934-4154;143.7425;-41.905417;0.570409;113.79;
217;J0940-5428;145.242583;-54.477944;0.087545;134.5;
218;J0941-5244;145.421446;-52.734578;0.658558;157.94;
219;B0940-55;145.565958;-55.881194;0.664367;180.2;
220;B0941-56;145.726925;-56.962067;0.808127;159.74;
221;B0940+16;145.875417;16.526944;1.087418;20.32;
222;J0943+22;145.854167;22.933333;0.532913;25.1;
223;B0942-13;146.12065;-13.911564;0.570264;12.5;
224;J0945-4833;146.409392;-48.554028;0.331586;98.1;
225;B0943+10;146.531667;9.865278;1.097706;15.4;
226;J0947+27;146.841667;27.7;0.85105;29.0;
227;B0950-38;148.071667;-38.652833;1.373815;167.0;
228;B0950+08;148.28879;7.926597;0.253065;2.96;
229;J0954-5430;148.525167;-54.514861;0.472834;200.3;
230;B0953-52;148.872917;-53.071306;0.862118;156.9;
231;J0957-5432;149.483375;-54.534417;0.203557;226.1;
232;B0957-47;149.859417;-48.163194;0.670086;92.7;
233;J1000-5149;150.117254;-51.832811;0.255677;72.8;
234;B0959-54;150.40825;-55.118528;1.436583;130.32;
235;J1001-5559;150.285833;-55.983389;1.661177;159.3;
236;J1001-5939;150.384292;-59.654944;7.73364;113.0;
237;J1002-5559;150.74125;-55.993611;0.777501;426.0;
238;B1001-47;150.839917;-47.783889;0.307072;98.1;
239;J1006-6311;151.6525;-63.194778;0.835797;195.99;
240;B1010-23;153.140527;-23.639561;2.517945;22.51;
241;B1011-58;153.202083;-58.961111;0.819911;383.9;
242;J1012+5307;153.139307;53.117386;0.005256;9.02;
